Word                 Count
-------------------------
на                   5    
у                    4    
та                   3    
обробки              3    
дані                 2    
«ключ,               2    
mapreduce            2    
для                  2    
в                    2    
пари                 2    
кількості            2    
різних               2    
при                  2    
обчислювальних       2    
і                    2    
парадигма            1    
програмування        1    
великих              1    
даних,               1    
розподілених         1    
між                  1    
ідея                 1    
полягає              1    
розділенні           1    
вхідних              1    
частин               1    
рішення.             1    
мають                1    
елементами           1    
якого                1    
є                    1    
розрахунку           1    
слів                 1    
матимемо             1    
«слово,              1    
1».                  1    
розрахунках,         1    
це                   1    
сумуватись           1    
загальної            1    
слова                1    
тексті.              1    
приклад              1    
текстової            1    
парадигму            1    
канонічна            1    
містити              1    
реалізацію           1    
принаймні            1    
фаз                  1    
reduce.              1    
як                   1    
потрібно             1    
значення»            1    
яким                 1    
чином                1    
зібрати              1    
задання              1    
обчислювального      1    
дозволяє             1    
частини              1    
виконувати           1    
їх                   1    
розподілу            1    
автоматично          1    
не                   1    
вимагаю              1    
–                    1    
обсягів              1    
вузлами              1    
кластера.            1    
цієї                 1    
парадигми            1    
даних                1    
частини,             1    
цих                  1    
об’єднання           1    
проміжного           1    
результату           1    
остаточне            1    
розділені            1    
вхідні               1    
формат               1    
списку,              1    
значення».           1    
прикладі             1    
задачі               1    
тексті,              1    
елементи             1    
формату              1    
подальших            1    
значення             1    
-                    1    
«одиниця»            1    
буде                 1    
отримання            1    
появи                1    
певного              1    
рис.                 1    
1.1                  1    
показано             1    
інформації,          1    
використовуючи       1    
mapreduce.           1    
програма             1    
має                  1    
двох                 1    
головних             1    
map                  1    
них                  1    
описується           1    
створити             1    
кінцевий             1    
результат.           1    
процесу              1    
даний                1    
спосіб               1    
розподіляти          1    
обробку              1    
вузлах.              1    
цьому,               1    
сам                  1    
процес               1    
виконується          1    
явного               1    
керування            1    
користувачем.        1    
